hour_cph,dow_cph,p50_delay_sec,p90_delay_sec,p95_delay_sec,n
9,1,60,240,300,180
10,1,120,360,420,220
11,1,60,240,300,260
12,1,60,120,180,240
13,1,60,180,240,244
